epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8779,1.70123,2.19849,1.65691,0.28296,0.67524,0.4769,0.208,1.83712,1.95035,1.84653,0.000552888,0.000552888,0.000552888
2,43.1499,1.74758,1.99181,1.69071,0.32038,0.605,0.52313,0.1881,2.07849,2.44591,1.98156,0.00105368,0.00105368,0.00105368
3,62.8991,1.77492,1.93045,1.66078,0.51565,0.64692,0.59613,0.24567,1.84799,1.93952,1.80732,0.00149946,0.00149946,0.00149946
4,82.4184,1.78826,1.92346,1.70147,0.62246,0.6327,0.62845,0.26025,1.79862,1.71434,1.7612,0.00141945,0.00141945,0.00141945
5,101.895,1.78111,1.92737,1.70706,0.62484,0.68244,0.66966,0.2613,1.90511,1.83162,1.83525,0.00133693,0.00133693,0.00133693
6,121.505,1.7006,1.80821,1.62988,0.64843,0.67529,0.72349,0.32128,1.78239,1.52151,1.71584,0.00125442,0.00125442,0.00125442
7,141.011,1.70689,1.77935,1.67122,0.71009,0.715,0.76438,0.33439,1.7453,1.50158,1.74088,0.0011719,0.0011719,0.0011719
8,160.325,1.69548,1.7752,1.63654,0.74516,0.64733,0.73735,0.34117,1.70435,1.48519,1.66929,0.00108938,0.00108938,0.00108938
9,179.948,1.64398,1.70603,1.59532,0.63661,0.665,0.68038,0.3011,1.7877,1.54158,1.76521,0.00100687,0.00100687,0.00100687
10,199.24,1.61015,1.67654,1.58765,0.64263,0.65758,0.70616,0.32212,1.75711,1.51786,1.7072,0.000924352,0.000924352,0.000924352
11,230.85,1.70595,1.56163,1.69361,0.71871,0.67666,0.74344,0.32707,1.893,1.521,1.853,0.000841835,0.000841835,0.000841835
12,250.055,1.65167,1.47642,1.65344,0.64773,0.67145,0.71074,0.31844,1.77985,1.4812,1.71008,0.000759318,0.000759318,0.000759318
13,269.376,1.59018,1.39552,1.61478,0.73442,0.74,0.81663,0.39497,1.7037,1.29674,1.68188,0.000676802,0.000676802,0.000676802
14,288.727,1.56607,1.34407,1.59983,0.7547,0.69365,0.77919,0.39289,1.69247,1.32255,1.65567,0.000594286,0.000594286,0.000594286
15,308.08,1.56823,1.35089,1.5897,0.80628,0.7234,0.79709,0.3919,1.67575,1.28931,1.63804,0.000511769,0.000511769,0.000511769
16,327.356,1.54101,1.29018,1.57934,0.71805,0.7883,0.80811,0.40306,1.69185,1.26802,1.65353,0.000429253,0.000429253,0.000429253
17,346.797,1.51645,1.21041,1.53032,0.76148,0.74818,0.81356,0.40145,1.64073,1.23995,1.64035,0.000346736,0.000346736,0.000346736
18,366.266,1.49244,1.1989,1.52193,0.77846,0.73282,0.81358,0.41112,1.65659,1.21865,1.62773,0.00026422,0.00026422,0.00026422
19,385.599,1.45649,1.17485,1.50433,0.78919,0.77469,0.82878,0.41253,1.66693,1.19206,1.61111,0.000181703,0.000181703,0.000181703
20,404.868,1.45088,1.14585,1.49825,0.79961,0.75,0.83135,0.4215,1.62858,1.17663,1.60444,9.91865e-05,9.91865e-05,9.91865e-05
