epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9147,1.61984,2.86702,1.8469,0.67313,0.37,0.3908,0.14399,1.95242,4.61744,2.58949,0.000544553,0.000544553,0.000544553
2,35.9829,1.72359,2.0387,1.87449,0.12856,0.25,0.0886,0.02602,2.42544,3.94101,2.94525,0.00104576,0.00104576,0.00104576
3,46.7486,1.74321,1.92671,1.86973,0.29237,0.34,0.20655,0.07828,2.04326,3.5176,2.53841,0.00149195,0.00149195,0.00149195
4,57.4121,1.71194,1.89616,1.8261,0.47269,0.51544,0.3931,0.1534,1.9834,3.27349,2.40085,0.00141945,0.00141945,0.00141945
5,68.0798,1.73201,1.81324,1.86118,0.85917,0.285,0.34203,0.13659,1.95422,4.25225,2.37523,0.00133693,0.00133693,0.00133693
6,79.0429,1.65487,1.68511,1.76722,0.64956,0.62402,0.65291,0.2683,1.95993,1.85569,2.27811,0.00125442,0.00125442,0.00125442
